typeId,channelName,unit
1.0,Rain,mm
1.0,Rain,degC
2.0,Vbatt,volt
3.0,STDwd,deg
4.0,WS,m/sec
5.0,WSmax,m/sec
6.0,WS1mm,m/sec
9.0,WS3.5m,m/sec
19.0,WSV,m/sec
22.0,WD,deg
23.0,WDmax,deg
27.0,RH,%
31.0,TW,degC
32.0,TD,degC
33.0,TG,degC
37.0,T-.5m,degC
41.0,TDmax,degC
42.0,TDmin,degC
44.0,TD10m,degC
48.0,T-.1m,degC
49.0,T-.2m,degC
52.0,Grad,w/m2
54.0,T.5m,degC
62.0,EVAP,mm
77.0,DiffR,w/m2
79.0,NIP,w/m2
84.0,BP,mb
102.0,Time,hhmm
106.0,T12m,degC
126.0,Td6m,degC
138.0,STAB,_
144.0,Ws10mm,m/sec
150.0,Licor,w/m2
248.0,TT,degC
325.0,Rain_1_min,mm
