stationId,name,shortName,y,x,timebase,active,owner,regionId
2,AVNE ETAN,AVNE ETA,32.817,32.817,10,True,ims,8
6,BET ZAYDA,BET ZAYD,32.881,32.881,10,True,ims,9
8,ZEMAH,ZEMAH,32.704,32.704,10,True,ims,9
9,ZEMAH 20020703,ZEMAH 20,,,10,False,ims,6
10,MEROM GOLAN PICMAN,MEROM GO,33.133,33.133,10,True,ims,8
11,YAVNEEL,YAVNEEL,32.683,32.683,10,True,ims,9
13,TAVOR KADOORIE,TAVOR KA,32.7,32.7,10,True,ims,8
16,AFULA NIR HAEMEQ,AFULA NI,32.597,32.597,10,True,ims,9
17,TEL YOSEF 20060907,TEL YOSE,,,10,False,ims,9
18,EDEN FARM 20080706,EDEN FAR,32.47,32.47,10,False,ims,6
20,QARNE SHOMERON,QARNE SH,32.166,32.166,10,True,ims,7
21,ARIEL,ARIEL,32.106,32.106,10,True,ims,7
22,JERUSALEM GIVAT RAM,JERUSALE,31.771,31.771,10,True,ims,7
23,JERUSALEM CENTRE,JERUSALE,31.781,31.781,10,True,ims,7
24,HAR HARASHA,HAR HARA,31.933,31.933,10,True,ims,7
25,NETIV HALAMED HE,NETIV HA,31.683,31.683,10,True,ims,7
28,SHANI,SHANI,31.35,31.35,10,True,ims,7
29,ARAD,ARAD,31.251,31.251,10,True,ims,7
30,GILGAL,GILGAL,31.983,31.983,10,True,ims,9
32,NEWE ZOHAR UNI,NEWE ZOH,,,10,False,None,10
33,HAZEVA,HAZEVA,30.51,30.51,10,True,ims,10
35,PARAN 20060124,PARAN 20,40.45,40.45,10,True,ims,10
36,YOTVATA,YOTVATA,29.886,29.886,10,True,ims,10
37,YOTVATA2,YOTVATA2,,,10,False,,6
41,HAIFA REFINERIES,HAIFA RE,32.799,32.799,10,True,ims,15
42,HAIFA UNIVERSITY,HAIFA UN,32.762,32.762,10,True,ims,11
43,HAIFA TECHNION,HAIFA TE,32.766,32.766,10,True,ims,11
44,EN KARMEL,EN KARME,32.682,32.682,10,True,ims,15
45,ZIKHRON YAAQOV,ZIKHRON,32.566,32.566,10,True,ims,11
46,HADERA PORT,HADERA P,32.474,32.474,10,True,ims,15
54,BET DAGAN,BET DAGA,32.009,32.009,10,True,ims,13
58,BESOR FARM,BESOR FA,31.273,31.273,10,True,ims,14
59,BEER SHEVA,BEER SHE,31.333,31.333,10,True,ims,12
60,BEER SHEVA UNI,BEER SHE,,,10,True,ims,12
62,ZEFAT HAR KENAAN,ZEFAT HA,32.982,32.982,10,True,ims,8
64,ELAT,ELAT,29.553,29.553,10,True,ims,10
65,SEDOM,SEDOM,31.032,31.032,10,True,ims,10
67,EN HASHOFET,EN HASHO,32.633,32.633,10,True,ims,11
69,MIZPE RAMON 20080514,MIZPE RA,30.614,30.614,10,False,ims,12
73,ELON,ELON,33.066,33.066,10,True,ims,8
74,QEVUZAT YAVNE,QEVUZAT,31.816,31.816,10,True,ims,14
75,BEIT JIMAL,BEIT JIM,31.716,31.716,10,True,ims,7
77,ROSH ZURIM,ROSH ZUR,31.665,31.665,10,True,ims,7
78,AFEQ,AFEQ,32.848,32.848,10,True,ims,15
79,DOROT,DOROT,31.5,31.5,10,True,ims,14
82,NEGBA,NEGBA,31.658,31.658,10,True,ims,14
85,BET DAGAN RAD,BET DAGA,,,10,True,ims,13
89,SEDE BOQER UNI,SEDE BOQ,30.85,30.85,10,True,ims,12
90,ITAMAR,ITAMAR,32.166,32.166,10,True,ims,7
98,SEDE BOQER,SEDE BOQ,30.871,30.871,10,True,ims,12
99,DEIR HANNA,DEIR HAN,32.863,32.863,10,True,ims,8
106,ROSH HANIQRA,ROSH HAN,33.081,33.081,10,True,ims,15
107,EN HAHORESH,EN HAHOR,32.388,32.388,10,True,ims,15
112,ZOMET HANEGEV,ZOMET HA,31.066,31.066,10,True,ims,12
115,LEV KINERET,LEV KINE,32.816,32.816,10,True,ims,9
121,HAFEZ HAYYIM,HAFEZ HA,31.793,31.793,10,True,ims,14
123,AMMIAD,AMMIAD,32.916,32.916,10,True,ims,8
124,ASHDOD PORT,ASHDOD P,31.835,31.835,10,True,ims,14
178,TEL AVIV COAST,TEL AVIV,32.059,32.059,10,True,ims,13
186,NEWE YAAR,NEWE YAA,32.709,32.709,10,True,ims,9
188,ZOVA,ZOVA,31.47,31.47,10,True,ims,7
202,KEFAR BLUM,KEFAR BL,33.173,33.173,10,True,ims,9
205,ESHHAR,ESHHAR,32.883,32.883,10,True,ims,8
206,EDEN FARM,EDEN FAR,32.47,32.47,10,True,ims,9
207,PARAN,PARAN,30.367,30.367,10,True,ims,10
208,ASHQELON PORT,ASHQELON,31.633,31.633,10,True,ims,14
210,METZOKE DRAGOT,METZOKE,31.583,31.583,10,True,ims,10
211,EN GEDI,EN GEDI,31.419,31.419,10,True,ims,10
212,BET DAGAN_1m,BET DAGA,,,1,False,None,6
218,MAALE ADUMMIM,MAALE AD,31.773,31.773,10,True,ims,7
224,MAALE GILBOA,MAALE GI,32.481,32.481,10,True,ims,7
227,GAMLA,GAMLA,32.907,32.907,10,True,ims,8
228,BET HAARAVA,BET HAAR,31.805,31.805,10,True,ims,10
232,NEOT SMADAR,NEOT SMA,30.048,30.048,10,True,ims,10
233,KEFAR NAHUM,KEFAR NA,32.883,32.883,10,True,ims,9
236,GAT,GAT,31.616,31.616,10,True,ims,14
238,ZEFAT HAR KENAAN_1m,ZEFAT HA,,,1,False,Rain_1m,6
239,ELON_1m,ELON_1m,,,1,False,Rain_1m,6
240,ARAD_1m,ARAD_1m,,,1,False,Rain_1m,6
241,KEFAR GILADI,KEFAR GI,33.241,33.241,10,True,ims,8
242,ARIEL_1m,ARIEL_1m,,,1,False,Rain_1m,6
243,ASHDOD PORT_1m,ASHDOD P,,,1,False,Rain_1m,6
244,BESOR FARM_1m,BESOR FA,,,1,False,Rain_1m,6
245,DOROT_1m,DOROT_1m,,,1,False,Rain_1m,6
246,EN HAHORESH_1m,EN HAHOR,,,1,False,Rain_1m,6
247,QARNE SHOMERON_1m,QARNE SH,,,1,False,Rain_1m,6
248,JERUSALEM CENTRE_1m,JERUSALE,,,1,False,Rain_1m,6
249,JERUSALEM GIVAT RAM_1m,JERUSALE,,,1,False,Rain_1m,6
250,SEDOM_1m,SEDOM_1m,,,1,False,Rain_1m,6
251,SEDE BOQER_1m,SEDE BOQ,,,1,False,Rain_1m,6
252,NEGBA_1m,NEGBA_1m,,,1,False,Rain_1m,6
257,TEL YOSEF 20141223,TEL YOSE,32.545,32.545,10,True,ims,9
259,NAHSHON,NAHSHON,31.834,31.834,10,True,ims,7
263,GALED,GALED,,,10,True,ims,11
